Unnamed: 0,Gene,pval_adj_SC,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Chromosome Position,Total_Mutations
9747,ARHGDIB,0,12128.08144,0.675450267,0.109378541,6.175345357,6.60189982382171e-10,1.35832761415381e-09,12p12.3,2
9736,TRAC,0,1650.296631,1.316221644,0.143273791,9.186758009,4.048592369250329e-20,1.3520677666916802e-19,14q11.2,4
9737,IL32,0,3333.973222,1.968353571,0.150365248,13.09048198,3.73231913540942e-39,2.59450271492627e-38,16p13.3,1
9741,CORO1A,0,2761.673077,1.759025292,0.142337048,12.358169,4.40066287666588e-35,2.63600118488016e-34,16p11.2,1
9743,HLA-A,0,48796.12283,1.389443881,0.104411034,13.30744298,2.09530731809983e-40,1.52563818615041e-39,6p22.1,1
9744,CD2,0,933.6305346,1.522325112,0.150550224,10.11174262,4.90047531694596e-24,1.9250720604202505e-23,1p13.1,5
9745,RPL27A,0,44407.24949,0.448408006,0.093428501,4.799477711,1.59079937866965e-06,2.7212087089119e-06,11p15.4,1
9748,ACTB,0,295770.1987,0.91137207,0.069050174,13.19869326,8.927017879145289e-40,6.33643229853058e-39,7p22.1,6
9749,RGS1,0,2905.083677,0.695228022,0.160355421,4.335544237,1.45399928795666e-05,2.33384341493654e-05,1q31.2,3
9751,TRBC2,0,934.2538196,1.61284288,0.157046722,10.26982835,9.63759855359694e-25,3.89605912029732e-24,7q34,1
9753,HLA-E,0,47925.40663,-0.359640023,0.091806222,-3.917381809,8.95159097866768e-05,0.000136555,6p22.1,4
9724,RPL37,0,42575.9102,0.380153062,0.098742855,3.84992981,0.000118152,0.000178845,5p13.1,1
82301,EIF4A3,0,5932.880788,1.081951701,0.061386047,17.62536853,1.57340064900575e-69,3.06158872736555e-68,17q25.3,6
82293,TM4SF1,0,30252.56297,0.818222374,0.119635887,6.839272034,7.95966109615269e-12,1.8199744701559494e-11,3q25.1,1
82294,PGRMC1,0,10970.44886,0.467169722,0.071251021,6.556674053,5.50210928743757e-11,1.20451242342283e-10,Xq24,4
82327,PTMA,0,41320.0871,1.276134644,0.07349011,17.36471276,1.52661959110193e-67,2.78949747379825e-66,2q37.1,1
82328,HSBP1,0,6618.686059,0.575375424,0.063577694,9.049957401,1.43024126230009e-19,4.67870568772201e-19,,1
82329,STMP1,0,4514.16573,1.053995426,0.072303764,14.5773244,3.91564809050375e-48,3.76380883088201e-47,7q33,3
82266,DESI2,0,5048.032875,1.26668661,0.075583761,16.7587136,4.89092302251694e-63,7.755144554546289e-62,1q44,2
82299,METTL5,0,1532.817375,0.418673001,0.074609982,5.611487785,2.00594449715083e-08,3.82185214720317e-08,2q31.1,4
82300,TFAM,0,3357.232369,0.282439552,0.074971978,3.767268247,0.000165044,0.000247501,10q21.1,1
82335,ARL6IP6,0,1019.501737,0.632283434,0.072195056,8.757988007,1.98766310661508e-18,6.19884661305541e-18,2q23.3,8
82302,STAU1,0,9684.361737,0.574305198,0.050023496,11.48070904,1.64922446045376e-30,8.390883187023559e-30,20q13.13,5
9728,RPL36,0,24884.11153,0.565613521,0.112371449,5.03342732,4.81787527304194e-07,8.488911285571e-07,19p13.3,2
9730,B2M,0,130584.0594,0.423126954,0.096473116,4.38595718,1.15476838293988e-05,1.86823393162025e-05,15q21.1,3
9731,TMSB4X,0,67880.70267,0.450054818,0.102700094,4.38222403,1.17473919972536e-05,1.89878233242887e-05,Xp22.2,1
9732,CD52,0,956.484039,0.825738183,0.172655329,4.782581509,1.73058177120954e-06,2.95268491439984e-06,1p36.11,1
9733,HLA-B,0,84195.21284,1.243347661,0.10654648,11.66953299,1.82421881382936e-31,9.6046822618359e-31,6p21.33,3
82333,OLA1,0,6200.188497,0.615075638,0.063826396,9.636697049,5.595958378192019e-22,2.02650165050948e-21,2q31.1,4
82359,PFDN4,0,1208.372721,0.785906194,0.076613355,10.25808347,1.08845501081079e-24,4.38904956650186e-24,20q13.2,2
82298,MRPL39,0,1413.889879,0.633406674,0.071703944,8.833637805,1.01325371430196e-18,3.19636398595813e-18,21q21.3,1
82331,SEC63,0,9711.756276,0.407442071,0.06801893,5.99012763,2.09676425111259e-09,4.21196931440123e-09,6q21,3
82332,MRPL42,0,2826.845471,0.620229303,0.058135936,10.66860446,1.42754255245637e-26,6.228981444491239e-26,12q22,1
82314,ERG28,0,2560.751254,0.691276802,0.074798388,9.241867672,2.42231558233042e-20,8.17781924381339e-20,14q24.3,1
82347,MACROH2A2,0,2289.746741,1.253638301,0.118127069,10.61262514,2.60330215993563e-26,1.11838233856975e-25,10q22.1,3
82348,GSTM3,0,2874.896106,-1.81879423,0.131876997,-13.79159579,2.86354688565786e-43,2.30937412981218e-42,1p13.3,1
82349,MRPS33,0,2081.869793,0.426675644,0.065233227,6.540771725,6.12021886765278e-11,1.33601683006925e-10,7q34,1
82350,FNBP1L,0,6682.158168,0.187996584,0.07504182,2.505224207,0.012237379,0.01576488,1p22.1,4
82351,TOMM20,0,20537.94421,0.416724113,0.074951155,5.559942534,2.69863491853514e-08,5.10661895127874e-08,1q42.3,1
82344,HAT1,0,3099.95998,0.357410816,0.058175831,6.143630658,8.06562669899473e-10,1.65151668993504e-09,2q31.1,4
82336,GAPDH,0,85589.74006,1.630436558,0.113444271,14.37213662,7.74058340976322e-47,7.07531363981501e-46,12p13.31,1
82337,SF3B2,0,14781.35238,0.502277999,0.052321101,9.599912568,8.001226671018809e-22,2.87798153187415e-21,11q13.1,6
82338,CADM1,0,3330.255987,0.856314603,0.125318296,6.83311721,8.30890119558159e-12,1.89734085144523e-11,11q23.3,6
82340,HNRNPF,0,14803.91529,0.7268288,0.059775571,12.15929504,5.11985962589024e-34,2.94895307061934e-33,10q11.21,4
82310,SERTAD4,0,3622.055304,1.31239236,0.136836899,9.590924461,8.72992602142168e-22,3.13362695317112e-21,1q32.2,2
82343,TBL1XR1,0,10105.5226,0.54402042,0.065715561,8.278410916,1.24829829621596e-16,3.57994784920768e-16,3q26.32,10
82324,ELOF1,0,2484.797956,0.661274526,0.072570172,9.11220831,8.07218762028802e-20,2.66746454844723e-19,19p13.2,1
82345,DDX1,0,8263.878832,0.278776967,0.0600099,4.645516283,3.39227014539493e-06,5.67924040222924e-06,2p24.3,2
82282,MYADM,0,11202.43443,-1.29774239,0.103678819,-12.516948,6.0309887228167e-36,3.73259837535359e-35,19q13.42,2
82315,TPRKB,0,1308.305391,0.753499267,0.074414742,10.12567195,4.25049099151965e-24,1.67419257161355e-23,2p13.1,2
95730,RPL9,0,32237.65772,-0.500680838,0.089273649,-5.608383243,2.04225401094317e-08,3.88871431658949e-08,4p14,2
95734,RPS20,0,62155.96771,0.352073982,0.099572043,3.535871839,0.000406432,0.000590922,8q12.1,2
95707,RPL19,0,58649.18665,0.195255454,0.089322818,2.185952678,0.028819068,0.035894744,17q12,3
95709,KRT19,0,41775.07584,1.200305916,0.188249576,6.376141401,1.81605265333223e-10,3.85727733940353e-10,17q21.2,8
95761,MARCKSL1,0,19036.88253,1.882530221,0.114764933,16.40335743,1.80954973883145e-60,2.6482090991014707e-59,1p35.1,2
95711,RPS19,0,52859.03992,0.911503136,0.106625804,8.548616736,1.24572428168954e-17,3.74087745633048e-17,19q13.2,1
95712,SNORC,0,974.3551609,1.559479438,0.267390616,5.83221454,5.4696528321215e-09,1.07433209702174e-08,2q37.1,1
95713,RPS12,0,58100.65452,0.402744278,0.087446601,4.605602416,4.11273508167747e-06,6.84837140054365e-06,6q23.2,2
95714,RPS3,0,75430.27789,0.413168763,0.096418135,4.28517689,1.82593846433659e-05,2.91694049764877e-05,11q13.4,2
95704,RPLP0,0,90683.96848,0.321718231,0.08755406,3.674509556,0.000238307,0.000353308,12q24.23,4
82295,HNRNPUL1,0,15470.04455,0.624034616,0.05593419,11.15658622,6.64961867311346e-29,3.17915733521941e-28,19q13.2,8
95769,RPL35,0,22765.16615,0.527584464,0.109590471,4.81414541,1.47831139980021e-06,2.53466331694074e-06,9q33.3,3
95739,PABPC1,0,112726.5147,1.185666113,0.08003076,14.81513009,1.16962619958555e-49,1.19300628736036e-48,8q22.3,2
82296,PA2G4,0,5536.411699,0.729293869,0.072708978,10.03031388,1.12159481767721e-23,4.35341253731641e-23,12q13.2,5
95722,RPL23,0,41697.66848,-0.265849684,0.082009607,-3.241689523,0.001188234,0.001667456,17q12,3
95724,RPS4X,0,106838.0038,-0.276279601,0.084172286,-3.282310777,0.001029601,0.00145132,Xq13.1,3
95725,RPL3,0,133958.3095,-0.348428735,0.08415468,-4.140337016,3.46795937649701e-05,5.43996963432848e-05,22q13.1,3
95726,RPS8,0,64821.83764,0.216890025,0.08593475,2.523891948,0.01160636,0.014989204,1p34.1,2
95728,FABP7,0,3447.624189,2.795952138,0.3193654,8.754712131,2.04625089813422e-18,6.377415485965419e-18,6q22.31,1
82283,SIVA1,0,2440.460104,0.840541175,0.089754226,9.364920315,7.61076992262149e-21,2.62484687642308e-20,14q32.33,1
82284,YEATS4,0,957.4182725,0.615186783,0.076674794,8.023324873,1.02920679171827e-15,2.8217149908412e-15,12q15,3
82311,POLR2B,0,7214.710094,0.52747179,0.082549734,6.389745452,1.66162121295346e-10,3.53945426798325e-10,4q12,7
82288,TUSC3,0,3743.19197,0.458184681,0.115986084,3.950341861,7.80396463768679e-05,0.000119476,8p22,2
82289,BBX,0,5309.730319,-0.482547432,0.070731746,-6.822218535,8.96451535010839e-12,2.04364533634957e-11,3q13.12,8
82290,EI24,0,8838.048115,0.408924229,0.065345454,6.257883369,3.90237476416604e-10,8.11961416606545e-10,11q24.2,3
82292,MRPS21,0,4258.054349,1.187175143,0.086370328,13.74517346,5.44424151535519e-43,4.35040473609349e-42,1q21.2,1
82320,AKR1A1,0,6310.345179,0.676962123,0.076180225,8.886323538,6.31642469690829e-19,2.0100667479662097e-18,1p34.1,2
82322,DYNLL1,0,10156.72781,0.830152316,0.066603652,12.46406596,1.17237370033845e-35,7.17027791351401e-35,12q24.31,1
82297,GET3,0,3508.729231,0.670696282,0.065586038,10.22620512,1.51333786454837e-24,6.06663189912769e-24,19p13.13,4
95721,RPL7,0,52640.91444,0.287409814,0.082238473,3.494834032,0.000474357,0.000686092,8q21.11,4
82285,TM9SF2,0,16698.08246,0.419226984,0.076974288,5.446324921,5.14211677647868e-08,9.58389862769768e-08,13q32.3,6
82286,TEAD2,0,2934.989988,1.024774199,0.080454932,12.73724529,3.67130188344295e-37,2.38206283178006e-36,19q13.33,6
82287,TRIM28,0,16501.72779,0.905849358,0.073472778,12.3290473,6.31893895774997e-35,3.7638982565473797e-34,19q13.43,9
82303,LTBP3,0,8097.740839,-0.365313245,0.089074796,-4.101196543,4.11019262348787e-05,6.41853782144215e-05,11q13.1,2
82304,LSM10,0,1432.87077,0.837247249,0.087282837,9.59234692,8.61037569195973e-22,3.09244979457019e-21,1p34.3,1
82305,GNL2,0,5200.675271,1.047482978,0.062346723,16.80093091,2.40243688348872e-63,3.8507229779962e-62,1p34.3,5
82306,COPB2,0,13903.30305,0.757960446,0.055601875,13.63192252,2.5867486838717098e-42,2.02073942380955e-41,3q23,8
82409,FUBP1,0,6803.021966,0.415986076,0.057772362,7.20043398,6.00212141629021e-13,1.44578407398549e-12,1p31.1,6
82346,NOTCH3,0,14959.24086,0.439862351,0.104923332,4.19222629,2.76230255501083e-05,4.36050163077487e-05,19p13.12,12
82379,GSN,0,87328.51616,-2.392432682,0.121403924,-19.70638679,1.90062917178417e-86,5.77899703484171e-85,9q33.2,3
82380,USP1,0,5504.594709,1.28594349,0.089298142,14.40056267,5.13239693466535e-47,4.72959498503792e-46,1p31.3,9
82381,ACTR10,0,3182.299827,-0.30193318,0.048009603,-6.28901632,3.19483887058758e-10,6.6961086487976e-10,14q23.1,3
82383,ARF1,0,33965.18194,1.297266302,0.060281216,21.52024124,1.00637521743692e-102,4.69788684227364e-101,1q42.13,3
82384,CD46,0,16075.22995,-0.18788885,0.088173773,-2.1308927,0.033097983,0.040982117,1q32.2,6
10,MYL9,0,26014.51323,-1.120929656,0.134118544,-8.35775292,6.392415316788698e-17,1.85938266021692e-16,20q11.23,1
12,SELENOM,0,3993.525367,0.590503671,0.132436424,4.458770871,8.24309800571661e-06,1.34471625148949e-05,22q12.2,1
13,AARD,0,4349.12997,3.320492929,0.241412579,13.75443213,4.79027187312838e-43,3.83261702076068e-42,8q24.11,1
82417,RABAC1,0,441.9443609,1.118263275,0.119907359,9.32606039,1.09879295600085e-20,3.76992876499146e-20,19q13.2,1
82418,CNIH4,0,2880.876387,1.005090305,0.065723697,15.29266239,8.55788192273679e-53,9.61308680150047e-52,1q42.11,2
82419,COPZ1,0,9011.812599,0.220344062,0.053461361,4.121557299,3.7631984350388e-05,5.88960968877188e-05,12q13.13,1
82420,KIN,0,1061.434772,0.696137307,0.059836827,11.6339274,2.77050852515798e-31,1.4487592413104698e-30,10p14,2
82389,PAK2,0,8711.850107,0.432545073,0.067192464,6.437404527,1.21533718639714e-10,2.60588503109249e-10,3q29,6
82390,ZNF639,0,2514.162816,0.71878926,0.067284394,10.68285252,1.2245015073086699e-26,5.36131581908357e-26,3q26.33,2
82357,S100A6,0,36771.22704,0.635119214,0.137888211,4.60604434,4.10400917670644e-06,6.83502306337479e-06,1q21.3,1
82391,SOX4,0,13449.10285,1.47322808,0.102199018,14.41528601,4.14717666928498e-47,3.83643835954203e-46,6p22.3,3
82393,CALR,0,45582.88772,1.626288555,0.072509436,22.42864711,2.0683087833988507e-111,1.2025021914633401e-109,19p13.13,1
82423,RTRAF,0,7334.798719,0.340899218,0.063377969,5.378828387,7.49721305506409e-08,1.38482265980995e-07,14q22.1,1
82401,CRIPT,0,1774.612761,0.265359622,0.062245262,4.263129661,2.01583467201757e-05,3.2093439562965e-05,2p21,1
82403,HNRNPA3,0,17222.88382,0.529499423,0.048169622,10.99239325,4.15753243970407e-28,1.92208234670271e-27,2q31.2,3
82404,MME,0,8524.09799,-3.293507768,0.162189512,-20.30653967,1.12560636929806e-91,3.91939814906582e-90,3q25.2,6
82373,SLIRP,0,1753.918612,0.871250062,0.099084758,8.79297768,1.45647415178391e-18,4.56227152263283e-18,14q24.3,1
82374,CACNA1A,0,199.8332058,1.476508791,0.144637875,10.20831364,1.82000395946364e-24,7.27167762729474e-24,19p13.13,27
82407,RAN,0,14300.99377,1.18085618,0.062574342,18.87125216,1.9658480007751e-79,5.09685942471232e-78,12q24.33,3
82422,GNAS,0,96085.14671,1.095822129,0.091690051,11.95137443,6.3860281485251e-33,3.52582262036266e-32,20q13.32,14
82378,PDCD2,0,3184.428668,0.358224011,0.065097368,5.502895465,3.73603962531204e-08,7.01366499522866e-08,6q27,1
82411,RUVBL2,0,4541.549319,1.16991274,0.082812339,14.12727565,2.5793117269876905e-45,2.2291294952245905e-44,19q13.33,4
82412,CSNK1A1,0,5304.282943,-0.480310453,0.067079846,-7.160279614,8.051266871509329e-13,1.92704099546879e-12,5q32,3
82413,ARPC5L,0,2735.290039,1.31145522,0.071350766,18.38039452,1.88592089923858e-75,4.29730146945266e-74,9q33.3,1
82414,ZDHHC12,0,1514.890173,1.225651938,0.08540565,14.35094681,1.0509261154478e-46,9.560487648639901e-46,9q34.11,2
82415,SLC39A4,0,1259.989507,2.483931085,0.129423157,19.19232333,4.29023642672636e-82,1.17087448197969e-80,8q24.3,3
82452,KLHDC3,0,8171.820262,0.900943514,0.082116478,10.97153141,5.237766365997419e-28,2.41392710780751e-27,6p21.1,4
82441,UBE2E1,0,1217.007373,0.218650868,0.057695428,3.789743416,0.000150803,0.000226766,3p24.2,2
82455,BTF3L4,0,3892.649145,0.677397272,0.058798618,11.52063256,1.03845814875639e-30,5.3201223076208696e-30,1p32.3,1
82456,SNX7,0,1554.153523,0.365816278,0.086029222,4.252232768,2.11649702414745e-05,3.36485846082972e-05,1p21.3,6
82394,ERGIC2,0,2912.813171,0.655095085,0.072971045,8.977466124,2.77073936880866e-19,8.95542545989942e-19,12p11.22,1
82427,MTX2,0,1803.600442,0.578929877,0.05707799,10.14278668,3.56774059829724e-24,1.40902987070669e-23,2q31.1,2
